LFG-STISY7-L1,test11
nc2dlwas186.lnc.com,Web APIServer_850
VA1QWGENCHAT1,Chat_Server_Backup
VA1QWGENMGMT1,GSO_MessageServer_Q1
IL3QWGENRPT1,Verint_WFM_old
VA1QWGENWFM1,GP_WFM_Builder
VA1QWGENWFM1,GP_WFM_Daemon
VA1QWGENWFM1,GP_WFM_Data_Aggregator
VA1QWGENWFM1,GP_WFM_Server
VA1QWGENWFM1,GP_WFM_Web
VA1QWGENWFM1,GP_WFM_Stat_Server
VA1QWGENWFM2,PS_WFM_Builder
VA1QWGENWFM2,PS_WFM_Daemon
VA1QWGENWFM2,PS_WFM_Data_Aggregator
VA1QWGENWFM2,PS_WFM_Server
VA1QWGENWFM2,PS_WFM_Web
VA1QWGENWFM2,PS_WFM_StatServer
IL3TLGENCASS1,FTW_ORS_Q1
IL3TLGENCASS2,FTW_ORS_Q2
IL3TLGENCASS1,FTW_GMS_Q1
IL3TLGENCASS3,FTW_GMS_Q2
IL3TLGENCASS1,FTW_GMS_CLUSTER
IL3QWGENINT1,GMS_CHAT
IL3QWGENRPT1,GAX
VA1QWCSQL0300.us.ad.lfg.com,GAX_DAP
IN3QWSQL0100\IN3QWSQL0100,DAP_IN3QWSQL0100\IN3QWSQL0100_Genesys_GAXQ_2017-12-11T16:32:08.876Z
IL3QWGENRPT1,Privacy_Manager_GAX
IL3QWGENRPT1,Content_Analyzer_GAX
nc2tlgencass1,GSO_ORS_Q1
nc2tlgencass2,GSO_ORS_Q2
nc2tlgencass1,GSO_GMS_CLUSTER
nc2tlgencass1,GSO_GMS_Q1
nc2tlgencass3,GSO_GMS_Q2
IL3QWGENRPT1,Gplus_Adapter_Verint_WFM_620_options
IL3QWIVRSPEECH1,REALSPEAK_TOM
IL3QWGENRPT1,Verint_WFM_A
IL3QWGENURS3,RAD_TServer
IL3TLGENSIP01,CHI_SipServer_Q1
IL3TLGENSIP02,CHI_SipServer_Q2
VA1TLGENSIP01,ASH_SipServer_Q1
VA1TLGENSIP02,ASH_SipServer_Q2
il3tlgenrm01,CHI_ResourceManager_Q1
va1tlgenrm01,ASH_ResourceManager_Q1
va1tlgenrm02,ASH_ResourceManager_Q2
il3tlgenmcp01,CHI_PP_MCP_1
il3tlgenmcp02,CHI_PP_MCP_2
va1tlgenmcp02,ASH_PP_MCP_2
il3tlgents01,CHI_TServer
va1tlgents01,ASH_TServer_Backup
va1tlgenmcp01,ASH_PP_MCP_1
il3tlgenrm02,CHI_ResourceManager_Q2
il3tlgenmcp01,CHI_PP_MCP_3
il3tlgenmcp02,CHI_PP_MCP_4
va1tlgenmcp01,ASH_PP_MCP_3
va1tlgenmcp02,ASH_PP_MCP_4
IL3QWGENPULSE1,Pulse_Collector
IL3QWGENPULSE1,Pulse
IL3QWGENPULSE1,Pulse_DBServer
IL3QWGENPULSE1,Pulse_StatServer
VA1QWCSQL0300.us.ad.lfg.com,Pulse_DAP
IL3QWIVRMGMT1,Pulse_Collector_DAP
IL3QWIVRMGMT1,DAP_Pulse
IL3QWIVRMGMT1,Pulse_Collector_Temp
IL3QWGENASYNC01,ActiveSync_Stat_Dbs_P
IL3QWGENASYNC01,ActiveSync_Stat_P
VA1QWGENASYNC01,ActiveSync_Stat_Dbs_B
VA1QWGENASYNC01,ActiveSync_Stat_B
IL3QWGENASYNC01,Active_Stat_DAP
IL3QWGENRPT1,eServicesManager_Cluster
il3qwgenms01,New_MediaControlPlatform_851
il3qwgenms01,ResourceManager_851
